id,method-name,parametes-method,return-method,field-access,methods-method,contain-class-name,attributes-class,methods-class,target-class-name,attributes-class,methods-class,tag,move-tag
21,create  Error  Out  Of  Order,Jingle,iq,,build  add  Extension  set  Condition  get  Builder  create  Error  Response,Jingle,namespace  action  attribute  name  initiator  attribute  name  responder  attribute  name  session  id  attribute  name  element  session  Id  action  initiator  responder  reason  contents  Builder  sid  action  initiator  responder  reason  contents,Jingle  get  Initiator  get  Responder  get  Sid  get  Action  get  Reason  get  Contents  get  Sole  Content  Or  Throw  get  I  Q  Child  Element  Builder  get  Builder  create  Error  Unknown  Session  Builder  set  Session  Id  set  Action  set  Initiator  set  Responder  add  Jingle  Content  set  Reason  set  Reason  build,Jingle  Util,connection,Jingle  Util  create  Session  Initiate  create  Session  Initiate  File  Offer  send  Session  Initiate  File  Offer  send  Session  Initiate  create  Session  Accept  send  Session  Accept  create  Session  Terminate  create  Session  Terminate  create  Session  Terminate  Decline  send  Session  Terminate  Decline  create  Session  Terminate  Success  send  Session  Terminate  Success  create  Session  Terminate  Busy  send  Session  Terminate  Busy  create  Session  Terminate  Alternative  Session  send  Session  Terminate  Alternative  Session  create  Session  Terminate  Cancel  send  Session  Terminate  Cancel  create  Session  Terminate  Content  Cancel  send  Session  Terminate  Content  Cancel  create  Session  Terminate  Unsupported  Transports  send  Session  Terminate  Unsupported  Transports  create  Session  Terminate  Failed  Transport  send  Session  Terminate  Failed  Transport  create  Session  Terminate  Unsupported  Applications  send  Session  Terminate  Unsupported  Applications  create  Session  Terminate  Failed  Application  send  Session  Terminate  Failed  Application  create  Session  Terminate  Incompatible  Parameters  send  Session  Terminate  Incompatible  Parameters  send  Content  Reject  File  Not  Available  create  Session  Ping  send  Session  Ping  create  Ack  send  Ack  create  Transport  Replace  send  Transport  Replace  create  Transport  Accept  send  Transport  Accept  create  Transport  Reject  send  Transport  Reject  send  Error  Unknown  Session  create  Error  Unknown  Initiator  send  Error  Unknown  Initiator  create  Error  Unsupported  Info  send  Error  Unsupported  Info  create  Error  Tie  Break  send  Error  Tie  Break  send  Error  Out  Of  Order  create  Error  Malformed  Request  send  Error  Malformed  Request,1,0
22,get  Transport  Manager,X  M  P  P  Connection  String,Jingle  Transport  Manager,,get  Transport  Manager  get  Instance  For,Jingle  Transport  Method  Manager,instances  transport  Managers  transport  Preference,Jingle  Transport  Method  Manager  get  Instance  For  register  Transport  Manager  get  Transport  Manager  get  Transport  Manager  get  Transport  Manager  get  Best  Available  Transport  Manager  get  Best  Available  Transport  Manager  get  Best  Available  Transport  Manager,Jingle,namespace  action  attribute  name  initiator  attribute  name  responder  attribute  name  session  id  attribute  name  element  session  Id  action  initiator  responder  reason  contents  Builder  sid  action  initiator  responder  reason  contents,Jingle  get  Initiator  get  Responder  get  Sid  get  Action  get  Reason  get  Contents  get  Sole  Content  Or  Throw  get  I  Q  Child  Element  Builder  get  Builder  create  Error  Unknown  Session  Builder  set  Session  Id  set  Action  set  Initiator  set  Responder  add  Jingle  Content  set  Reason  set  Reason  build,0,0
23,get  Transport  Manager,X  M  P  P  Connection  String,Jingle  Transport  Manager,,get  Transport  Manager  get  Instance  For,Jingle,namespace  action  attribute  name  initiator  attribute  name  responder  attribute  name  session  id  attribute  name  element  session  Id  action  initiator  responder  reason  contents  Builder  sid  action  initiator  responder  reason  contents,Jingle  get  Initiator  get  Responder  get  Sid  get  Action  get  Reason  get  Contents  get  Sole  Content  Or  Throw  get  I  Q  Child  Element  Builder  get  Builder  create  Error  Unknown  Session  Builder  set  Session  Id  set  Action  set  Initiator  set  Responder  add  Jingle  Content  set  Reason  set  Reason  build,Jingle  Transport  Method  Manager,instances  transport  Managers  transport  Preference,Jingle  Transport  Method  Manager  get  Instance  For  register  Transport  Manager  get  Transport  Manager  get  Transport  Manager  get  Transport  Manager  get  Best  Available  Transport  Manager  get  Best  Available  Transport  Manager  get  Best  Available  Transport  Manager,1,0
24,subscribe,String  Node,Subscription,,from  subscribe,Node,pub  Sub  Manager  id  item  Event  To  Listener  Map  item  Delete  To  Listener  Map  config  Event  To  Listener  Map  Item  Event  Translator  listener  Item  Delete  Translator  listener  Node  Config  Translator  listener  Event  Content  Filter  first  Element  second  Element  allow  Empty,Node  get  Id  get  Node  Configuration  send  Configuration  Form  discover  Info  get  Subscriptions  get  Subscriptions  get  Subscriptions  As  Owner  get  Subscriptions  As  Owner  get  Subscriptions  modify  Subscriptions  As  Owner  get  Affiliations  get  Affiliations  get  Affiliations  As  Owner  get  Affiliations  As  Owner  get  Affiliations  modify  Affiliation  As  Owner  subscribe  subscribe  unsubscribe  unsubscribe  get  Subscription  Options  get  Subscription  Options  add  Item  Event  Listener  remove  Item  Event  Listener  add  Configuration  Listener  remove  Configuration  Listener  add  Item  Delete  Listener  remove  Item  Delete  Listener  to  String  create  Pubsub  Packet  send  Pubsub  Packet  get  Subscription  Ids  Item  Event  Translator  process  Stanza  Item  Delete  Translator  process  Stanza  Node  Config  Translator  process  Stanza  Event  Content  Filter  Event  Content  Filter  accept  Specific,Fillable  Subscribe  Form,,Fillable  Subscribe  Form  set  Deliver  On  set  Digest  On  set  Digest  Frequency  set  Expiry  set  Include  Body  set  Show  Values,0,0
25,subscribe,String  Node,Subscription,,from  subscribe,Fillable  Subscribe  Form,,Fillable  Subscribe  Form  set  Deliver  On  set  Digest  On  set  Digest  Frequency  set  Expiry  set  Include  Body  set  Show  Values,Node,pub  Sub  Manager  id  item  Event  To  Listener  Map  item  Delete  To  Listener  Map  config  Event  To  Listener  Map  Item  Event  Translator  listener  Item  Delete  Translator  listener  Node  Config  Translator  listener  Event  Content  Filter  first  Element  second  Element  allow  Empty,Node  get  Id  get  Node  Configuration  send  Configuration  Form  discover  Info  get  Subscriptions  get  Subscriptions  get  Subscriptions  As  Owner  get  Subscriptions  As  Owner  get  Subscriptions  modify  Subscriptions  As  Owner  get  Affiliations  get  Affiliations  get  Affiliations  As  Owner  get  Affiliations  As  Owner  get  Affiliations  modify  Affiliation  As  Owner  subscribe  subscribe  unsubscribe  unsubscribe  get  Subscription  Options  get  Subscription  Options  add  Item  Event  Listener  remove  Item  Event  Listener  add  Configuration  Listener  remove  Configuration  Listener  add  Item  Delete  Listener  remove  Item  Delete  Listener  to  String  create  Pubsub  Packet  send  Pubsub  Packet  get  Subscription  Ids  Item  Event  Translator  process  Stanza  Item  Delete  Translator  process  Stanza  Node  Config  Translator  process  Stanza  Event  Content  Filter  Event  Content  Filter  accept  Specific,1,1
26,send  Search  Form,X  M  P  P  Connection  Domain  Bare  Jid  User  Search,orgjivesoftwaresmackxsearch  Reported  Data,,set  Type  set  To  add  Extension  next  Result  Or  Throw  create  Stanza  Collector  And  Send  get  Reported  Data  From,User  Search,element  namespace  Provider,User  Search  get  Search  Form  send  Simple  Search  Form  parse,Data  Form,namespace  element  qname  Type  type  title  instructions  reported  Data  items  fields  fields  Map  extension  Elements  Builder  type  title  instructions  reported  Data  items  fields  fields  Map  extension  Elements  Reported  Data  element  qname  fields  Item  element  qname  fields,from  String  Data  Form  get  Type  get  Title  get  Instructions  get  Reported  Data  get  Items  get  Fields  get  Field  has  Field  get  Element  Name  get  Namespace  get  Extension  Elements  get  Form  Type  get  Hidden  Form  Type  Field  has  Hidden  Form  Type  Field  to  X  M  L  as  Builder  from  from  from  remove  builder  builder  Builder  Builder  Builder  set  Type  set  Title  add  Field  add  Fields  remove  Field  set  Form  Type  set  Instructions  set  Instructions  add  Instruction  add  Item  set  Reported  Data  add  Extension  Element  build  Reported  Data  get  Element  Name  get  Namespace  get  Fields  to  X  M  L  Item  get  Element  Name  get  Namespace  get  Fields  to  X  M  L,0,0
27,send  Search  Form,X  M  P  P  Connection  Domain  Bare  Jid  User  Search,orgjivesoftwaresmackxsearch  Reported  Data,,set  Type  set  To  add  Extension  next  Result  Or  Throw  create  Stanza  Collector  And  Send  get  Reported  Data  From,Data  Form,namespace  element  qname  Type  type  title  instructions  reported  Data  items  fields  fields  Map  extension  Elements  Builder  type  title  instructions  reported  Data  items  fields  fields  Map  extension  Elements  Reported  Data  element  qname  fields  Item  element  qname  fields,from  String  Data  Form  get  Type  get  Title  get  Instructions  get  Reported  Data  get  Items  get  Fields  get  Field  has  Field  get  Element  Name  get  Namespace  get  Extension  Elements  get  Form  Type  get  Hidden  Form  Type  Field  has  Hidden  Form  Type  Field  to  X  M  L  as  Builder  from  from  from  remove  builder  builder  Builder  Builder  Builder  set  Type  set  Title  add  Field  add  Fields  remove  Field  set  Form  Type  set  Instructions  set  Instructions  add  Instruction  add  Item  set  Reported  Data  add  Extension  Element  build  Reported  Data  get  Element  Name  get  Namespace  get  Fields  to  X  M  L  Item  get  Element  Name  get  Namespace  get  Fields  to  X  M  L,User  Search,element  namespace  Provider,User  Search  get  Search  Form  send  Simple  Search  Form  parse,1,1
28,send  Simple  Search  Form,X  M  P  P  Connection  Data  Form  Domain  Bare  Jid,Reported  Data,,set  Form  set  Type  set  To  next  Result  Or  Throw  create  Stanza  Collector  And  Send  get  Reported  Data,User  Search,element  namespace  Provider,User  Search  get  Search  Form  parse,Data  Form,namespace  element  qname  Type  type  title  instructions  reported  Data  items  fields  fields  Map  extension  Elements  Builder  type  title  instructions  reported  Data  items  fields  fields  Map  extension  Elements  Reported  Data  element  qname  fields  Item  element  qname  fields,send  Search  Form  from  String  Data  Form  get  Type  get  Title  get  Instructions  get  Reported  Data  get  Items  get  Fields  get  Field  has  Field  get  Element  Name  get  Namespace  get  Extension  Elements  get  Form  Type  get  Hidden  Form  Type  Field  has  Hidden  Form  Type  Field  to  X  M  L  as  Builder  from  from  from  remove  builder  builder  Builder  Builder  Builder  set  Type  set  Title  add  Field  add  Fields  remove  Field  set  Form  Type  set  Instructions  set  Instructions  add  Instruction  add  Item  set  Reported  Data  add  Extension  Element  build  Reported  Data  get  Element  Name  get  Namespace  get  Fields  to  X  M  L  Item  get  Element  Name  get  Namespace  get  Fields  to  X  M  L,0,0
29,send  Simple  Search  Form,X  M  P  P  Connection  Data  Form  Domain  Bare  Jid,Reported  Data,,set  Form  set  Type  set  To  next  Result  Or  Throw  create  Stanza  Collector  And  Send  get  Reported  Data,Data  Form,namespace  element  qname  Type  type  title  instructions  reported  Data  items  fields  fields  Map  extension  Elements  Builder  type  title  instructions  reported  Data  items  fields  fields  Map  extension  Elements  Reported  Data  element  qname  fields  Item  element  qname  fields,send  Search  Form  from  String  Data  Form  get  Type  get  Title  get  Instructions  get  Reported  Data  get  Items  get  Fields  get  Field  has  Field  get  Element  Name  get  Namespace  get  Extension  Elements  get  Form  Type  get  Hidden  Form  Type  Field  has  Hidden  Form  Type  Field  to  X  M  L  as  Builder  from  from  from  remove  builder  builder  Builder  Builder  Builder  set  Type  set  Title  add  Field  add  Fields  remove  Field  set  Form  Type  set  Instructions  set  Instructions  add  Instruction  add  Item  set  Reported  Data  add  Extension  Element  build  Reported  Data  get  Element  Name  get  Namespace  get  Fields  to  X  M  L  Item  get  Element  Name  get  Namespace  get  Fields  to  X  M  L,User  Search,element  namespace  Provider,User  Search  get  Search  Form  parse,1,0
30,get  Item,String  Privacy,Privacy  Item,,iterator  get  Privacy  List  has  Next  next  equals  get  Order,Privacy,element  namespace  decline  Active  List  active  Name  decline  Default  List  default  Name  item  Lists,Privacy  set  Privacy  List  set  Active  Privacy  List  delete  Privacy  List  get  Active  Privacy  List  get  Default  Privacy  List  get  Privacy  List  change  Default  List  delete  List  get  Active  Name  set  Active  Name  get  Default  Name  set  Default  Name  get  Item  Lists  is  Decline  Active  List  set  Decline  Active  List  is  Decline  Default  List  set  Decline  Default  List  get  Privacy  List  Names  get  I  Q  Child  Element  Builder,U  Int,serial  Version  U  I  D  number,U  Int  native  Representation  from  hash  Code  equals,0,0
31,get  Item,String  Privacy,Privacy  Item,,iterator  get  Privacy  List  has  Next  next  equals  get  Order,U  Int,serial  Version  U  I  D  number,U  Int  native  Representation  from  hash  Code  equals,Privacy,element  namespace  decline  Active  List  active  Name  decline  Default  List  default  Name  item  Lists,Privacy  set  Privacy  List  set  Active  Privacy  List  delete  Privacy  List  get  Active  Privacy  List  get  Default  Privacy  List  get  Privacy  List  change  Default  List  delete  List  get  Active  Name  set  Active  Name  get  Default  Name  set  Default  Name  get  Item  Lists  is  Decline  Active  List  set  Decline  Active  List  is  Decline  Default  List  set  Decline  Default  List  get  Privacy  List  Names  get  I  Q  Child  Element  Builder,1,1
32,from,Media  Element,Media  Element,,get  Form  Field  Child  Element,Media  Element,element  namespace  qname  height  width  uris  Builder  height  width  uris  Uri  element  qname  uri  type,Media  Element  get  Height  get  Width  get  Uris  get  Element  Name  get  Namespace  get  Q  Name  to  X  M  L  builder  set  Height  And  Width  set  Height  And  Width  add  Uri  add  Uri  build  Uri  get  Uri  get  Type  get  Element  Name  get  Namespace  get  Q  Name  to  X  M  L,Form  Field,element  namespace  qname  form  type  Type  field  Name  label  type  form  Field  Child  Elements  form  Field  Child  Elements  Map  description  required  extra  Xml  Child  Elements  Builder  field  Name  type  label  form  Field  Child  Elements  disallow  Type  disallow  Further  Form  Field  Child  Elements  Standard  Form  Field  Child  Element  Option  element  qname  label  value  hash  Code  Cache  Description  element  qname  description  Required  instance  element  qname  Value  element  qname  value,to  String  from  String  create  Child  Elements  Map  Form  Field  get  Description  get  Label  is  Required  get  Type  get  Values  has  Value  Set  get  Values  As  String  get  First  Value  get  First  Value  As  Date  get  Variable  get  Field  Name  get  Form  Field  Child  Element  get  Form  Field  Child  Elements  get  Form  Field  Child  Elements  get  Element  Name  get  Namespace  get  Q  Name  populate  Extra  Xml  Child  Elements  to  X  M  L  to  X  M  L  equals  hash  Code  boolean  Builder  fixed  Builder  fixed  Builder  hidden  Builder  jid  Multi  Builder  jid  Single  Builder  list  Multi  Builder  list  Single  Builder  text  Multi  Builder  text  Private  Builder  text  Single  Builder  builder  build  Hidden  Form  Type  if  Possible  As  if  Possible  As  Or  Throw  as  Hidden  Form  Type  Field  If  Possible  Builder  Builder  set  Description  set  Label  set  Required  set  Required  add  Form  Field  Child  Elements  add  Form  Field  Child  Element  reset  Internal  reset  build  get  Type  ensure  That  Form  Field  Child  Elements  Is  Set  set  Only  Element  get  This  Option  Option  Option  get  Label  get  Value  get  Value  String  to  String  get  Element  Name  get  Namespace  get  Q  Name  to  X  M  L  equals  hash  Code  Description  get  Description  get  Element  Name  get  Namespace  get  Q  Name  to  X  M  L  Required  get  Element  Name  get  Namespace  get  Q  Name  must  Be  Only  Of  His  Kind  to  X  M  L  Value  get  Value  get  Element  Name  get  Namespace  get  Q  Name  to  X  M  L  equals  hash  Code,0,0
33,from,Media  Element,Media  Element,,get  Form  Field  Child  Element,Form  Field,element  namespace  qname  form  type  Type  field  Name  label  type  form  Field  Child  Elements  form  Field  Child  Elements  Map  description  required  extra  Xml  Child  Elements  Builder  field  Name  type  label  form  Field  Child  Elements  disallow  Type  disallow  Further  Form  Field  Child  Elements  Standard  Form  Field  Child  Element  Option  element  qname  label  value  hash  Code  Cache  Description  element  qname  description  Required  instance  element  qname  Value  element  qname  value,to  String  from  String  create  Child  Elements  Map  Form  Field  get  Description  get  Label  is  Required  get  Type  get  Values  has  Value  Set  get  Values  As  String  get  First  Value  get  First  Value  As  Date  get  Variable  get  Field  Name  get  Form  Field  Child  Element  get  Form  Field  Child  Elements  get  Form  Field  Child  Elements  get  Element  Name  get  Namespace  get  Q  Name  populate  Extra  Xml  Child  Elements  to  X  M  L  to  X  M  L  equals  hash  Code  boolean  Builder  fixed  Builder  fixed  Builder  hidden  Builder  jid  Multi  Builder  jid  Single  Builder  list  Multi  Builder  list  Single  Builder  text  Multi  Builder  text  Private  Builder  text  Single  Builder  builder  build  Hidden  Form  Type  if  Possible  As  if  Possible  As  Or  Throw  as  Hidden  Form  Type  Field  If  Possible  Builder  Builder  set  Description  set  Label  set  Required  set  Required  add  Form  Field  Child  Elements  add  Form  Field  Child  Element  reset  Internal  reset  build  get  Type  ensure  That  Form  Field  Child  Elements  Is  Set  set  Only  Element  get  This  Option  Option  Option  get  Label  get  Value  get  Value  String  to  String  get  Element  Name  get  Namespace  get  Q  Name  to  X  M  L  equals  hash  Code  Description  get  Description  get  Element  Name  get  Namespace  get  Q  Name  to  X  M  L  Required  get  Element  Name  get  Namespace  get  Q  Name  must  Be  Only  Of  His  Kind  to  X  M  L  Value  get  Value  get  Element  Name  get  Namespace  get  Q  Name  to  X  M  L  equals  hash  Code,Media  Element,element  namespace  qname  height  width  uris  Builder  height  width  uris  Uri  element  qname  uri  type,Media  Element  get  Height  get  Width  get  Uris  get  Element  Name  get  Namespace  get  Q  Name  to  X  M  L  builder  set  Height  And  Width  set  Height  And  Width  add  Uri  add  Uri  build  Uri  get  Uri  get  Type  get  Element  Name  get  Namespace  get  Q  Name  to  X  M  L,1,1
34,add  Offered  Candidate,Transport  Negotiator,void,,get  Offered  Candidates  add  get  Offered  Candidates,Transport  Negotiator,logger  candidates  accept  period  resolver  offered  Candidates  remote  Candidates  valid  Remote  Candidates  accepted  Remote  Candidates  accepted  Local  Candidate  result  Thread  resolver  Listener  parent  Negotiator  Raw  Udp  Ice,Transport  Negotiator  get  Jingle  Transport  acceptable  Transport  Candidate  get  Best  Local  Candidate  set  Accepted  Local  Candidate  get  Accepted  Local  Candidate  do  Start  close  get  Jingle  Transport  get  Offered  Candidates  get  Best  Remote  Candidate  get  Remote  Candidates  add  Remote  Candidate  check  Remote  Candidate  candidate  Checked  candidate  Checking  is  Established  is  Fully  Established  delayed  Check  Best  Candidate  run  add  Valid  Remote  Candidate  get  Valid  Remote  Candidates  List  get  Valid  Remote  Candidates  add  Remote  Candidates  obtain  Candidates  List  send  Transport  Candidate  Offer  send  Transport  Candidates  Offer  candidate  Added  end  init  dispatch  Incoming  Packet  receive  Result  receive  Session  Initiate  Action  receive  Transport  Info  Action  receive  Content  Accept  Action  receive  Session  Accept  Action  trigger  Transport  Established  trigger  Transport  Closed  Raw  Udp  get  Jingle  Transport  get  Best  Remote  Candidate  acceptable  Transport  Candidate  Ice  get  Jingle  Transport  get  Best  Remote  Candidate  acceptable  Transport  Candidate,Transport  Candidate,logger  name  ip  port  local  Ip  generation  password  session  Id  connection  symmetric  candidate  Echo  echo  Thread  listeners  Fixed  Protocol  udp  tcp  tcpact  tcppass  ssltcp  value  Channel  myrtpvoice  myrtcpvoice  value  Candidate  Echo  socket  local  User  remote  User  id  send  receive  send  Stanza  listeners  result  Listeners  enabled  ended  reply  Tries  tries  candidate,add  Candidate  Echo  remove  Candidate  Echo  get  Candidate  Echo  get  Ip  set  Ip  get  Local  Ip  set  Local  Ip  get  Symmetric  set  Symmetric  get  Password  set  Password  get  Connection  set  Connection  get  Session  Id  set  Session  Id  Transport  Candidate  Transport  Candidate  Transport  Candidate  is  Null  get  Port  set  Port  get  Generation  set  Generation  get  Name  set  Name  equals  check  run  trigger  Candidate  Checked  get  Listeners  List  add  Listener  Fixed  Fixed  Fixed  Protocol  to  String  from  String  equals  hash  Code  is  Null  Channel  to  String  from  String  equals  hash  Code  is  Null  Candidate  Echo  run  cancel  fire  Test  Result  test  A  Sync  run  datagram  Received  add  Listener  remove  Listener  add  Result  Listener  remove  Result  Listener,0,0
35,add  Offered  Candidate,Transport  Negotiator,void,,get  Offered  Candidates  add  get  Offered  Candidates,Transport  Candidate,logger  name  ip  port  local  Ip  generation  password  session  Id  connection  symmetric  candidate  Echo  echo  Thread  listeners  Fixed  Protocol  udp  tcp  tcpact  tcppass  ssltcp  value  Channel  myrtpvoice  myrtcpvoice  value  Candidate  Echo  socket  local  User  remote  User  id  send  receive  send  Stanza  listeners  result  Listeners  enabled  ended  reply  Tries  tries  candidate,add  Candidate  Echo  remove  Candidate  Echo  get  Candidate  Echo  get  Ip  set  Ip  get  Local  Ip  set  Local  Ip  get  Symmetric  set  Symmetric  get  Password  set  Password  get  Connection  set  Connection  get  Session  Id  set  Session  Id  Transport  Candidate  Transport  Candidate  Transport  Candidate  is  Null  get  Port  set  Port  get  Generation  set  Generation  get  Name  set  Name  equals  check  run  trigger  Candidate  Checked  get  Listeners  List  add  Listener  Fixed  Fixed  Fixed  Protocol  to  String  from  String  equals  hash  Code  is  Null  Channel  to  String  from  String  equals  hash  Code  is  Null  Candidate  Echo  run  cancel  fire  Test  Result  test  A  Sync  run  datagram  Received  add  Listener  remove  Listener  add  Result  Listener  remove  Result  Listener,Transport  Negotiator,logger  candidates  accept  period  resolver  offered  Candidates  remote  Candidates  valid  Remote  Candidates  accepted  Remote  Candidates  accepted  Local  Candidate  result  Thread  resolver  Listener  parent  Negotiator  Raw  Udp  Ice,Transport  Negotiator  get  Jingle  Transport  acceptable  Transport  Candidate  get  Best  Local  Candidate  set  Accepted  Local  Candidate  get  Accepted  Local  Candidate  do  Start  close  get  Jingle  Transport  get  Offered  Candidates  get  Best  Remote  Candidate  get  Remote  Candidates  add  Remote  Candidate  check  Remote  Candidate  candidate  Checked  candidate  Checking  is  Established  is  Fully  Established  delayed  Check  Best  Candidate  run  add  Valid  Remote  Candidate  get  Valid  Remote  Candidates  List  get  Valid  Remote  Candidates  add  Remote  Candidates  obtain  Candidates  List  send  Transport  Candidate  Offer  send  Transport  Candidates  Offer  candidate  Added  end  init  dispatch  Incoming  Packet  receive  Result  receive  Session  Initiate  Action  receive  Transport  Info  Action  receive  Content  Accept  Action  receive  Session  Accept  Action  trigger  Transport  Established  trigger  Transport  Closed  Raw  Udp  get  Jingle  Transport  get  Best  Remote  Candidate  acceptable  Transport  Candidate  Ice  get  Jingle  Transport  get  Best  Remote  Candidate  acceptable  Transport  Candidate,1,1
36,send  Stanza,Jingle  Session,void,,send  Formatted  Jingle  send  Stanza  get  Connection,Jingle  Session,logger  sessions  random  Generator  initiator  responder  sid  connection  Listener  packet  Listener  packet  Filter  jingle  Media  Managers  session  State  content  Negotiators  connection  session  Init  Packet  I  D  media  Session  Map,Jingle  Session  Jingle  Session  get  Initiator  get  Connection  set  Initiator  get  Media  Managers  set  Media  Managers  get  Responder  set  Responder  get  Sid  set  Sid  generate  Session  Id  set  Session  State  get  Session  State  is  Fully  Established  receive  Packet  And  Respond  dispatch  Incoming  Packet  add  Content  Negotiator  send  Formatted  Jingle  send  Formatted  Jingle  create  Ack  hash  Code  equals  unregister  Instance  For  register  Instance  get  Instance  For  install  Connection  Listeners  connection  Terminated  remove  Connection  Listener  remove  Async  Packet  Listener  update  Packet  Listener  process  Stanza  accept  add  Media  Listener  remove  Media  Listener  add  Transport  Listener  remove  Transport  Listener  setup  Listeners  media  Closed  media  Established  transport  Established  transport  Closed  transport  Closed  On  Error  trigger  Session  Closed  trigger  Session  Closed  On  Error  trigger  Media  Received  terminate  terminate  close  is  Closed  create  Jingle  Error  media  Received  start  Outgoing  start  Incoming  do  Start  start  Negotiators  add  Jingle  Media  Session  get  Media  Session,iq,iq  element  query  element  child  Element  Q  Name  child  Element  Name  child  Element  Namespace  type  Type  Response  Type  I  Q  Child  Element  Xml  String  Builder  element  is  Empty  Element,iq  iq  iq  get  Type  set  Type  is  Request  I  Q  is  Response  I  Q  get  Child  Element  Q  Name  get  Child  Element  Name  get  Child  Element  Namespace  get  Element  Name  to  String  to  X  M  L  get  Child  Element  X  M  L  append  Inner  Xml  get  I  Q  Child  Element  Builder  create  Result  I  Q  create  Error  Response  create  Error  Response  create  Error  Response  from  String  result  Response  Type  get  Type  I  Q  Child  Element  Xml  String  Builder  I  Q  Child  Element  Xml  String  Builder  I  Q  Child  Element  Xml  String  Builder  set  Empty  Element,0,0
37,send  Stanza,Jingle  Session,void,,send  Formatted  Jingle  send  Stanza  get  Connection,iq,iq  element  query  element  child  Element  Q  Name  child  Element  Name  child  Element  Namespace  type  Type  Response  Type  I  Q  Child  Element  Xml  String  Builder  element  is  Empty  Element,iq  iq  iq  get  Type  set  Type  is  Request  I  Q  is  Response  I  Q  get  Child  Element  Q  Name  get  Child  Element  Name  get  Child  Element  Namespace  get  Element  Name  to  String  to  X  M  L  get  Child  Element  X  M  L  append  Inner  Xml  get  I  Q  Child  Element  Builder  create  Result  I  Q  create  Error  Response  create  Error  Response  create  Error  Response  from  String  result  Response  Type  get  Type  I  Q  Child  Element  Xml  String  Builder  I  Q  Child  Element  Xml  String  Builder  I  Q  Child  Element  Xml  String  Builder  set  Empty  Element,Jingle  Session,logger  sessions  random  Generator  initiator  responder  sid  connection  Listener  packet  Listener  packet  Filter  jingle  Media  Managers  session  State  content  Negotiators  connection  session  Init  Packet  I  D  media  Session  Map,Jingle  Session  Jingle  Session  get  Initiator  get  Connection  set  Initiator  get  Media  Managers  set  Media  Managers  get  Responder  set  Responder  get  Sid  set  Sid  generate  Session  Id  set  Session  State  get  Session  State  is  Fully  Established  receive  Packet  And  Respond  dispatch  Incoming  Packet  add  Content  Negotiator  send  Formatted  Jingle  send  Formatted  Jingle  create  Ack  hash  Code  equals  unregister  Instance  For  register  Instance  get  Instance  For  install  Connection  Listeners  connection  Terminated  remove  Connection  Listener  remove  Async  Packet  Listener  update  Packet  Listener  process  Stanza  accept  add  Media  Listener  remove  Media  Listener  add  Transport  Listener  remove  Transport  Listener  setup  Listeners  media  Closed  media  Established  transport  Established  transport  Closed  transport  Closed  On  Error  trigger  Session  Closed  trigger  Session  Closed  On  Error  trigger  Media  Received  terminate  terminate  close  is  Closed  create  Jingle  Error  media  Received  start  Outgoing  start  Incoming  do  Start  start  Negotiators  add  Jingle  Media  Session  get  Media  Session,1,1
38,send  Formatted  Jingle,Jingle,Jingle,,send  Formatted  Jingle,Jingle  Session,logger  sessions  random  Generator  initiator  responder  sid  connection  Listener  packet  Listener  packet  Filter  jingle  Media  Managers  session  State  content  Negotiators  connection  session  Init  Packet  I  D  media  Session  Map,Jingle  Session  Jingle  Session  get  Initiator  get  Connection  set  Initiator  get  Media  Managers  set  Media  Managers  get  Responder  set  Responder  get  Sid  set  Sid  generate  Session  Id  set  Session  State  get  Session  State  is  Fully  Established  receive  Packet  And  Respond  dispatch  Incoming  Packet  add  Content  Negotiator  send  Formatted  Jingle  create  Ack  hash  Code  equals  unregister  Instance  For  register  Instance  get  Instance  For  install  Connection  Listeners  connection  Terminated  remove  Connection  Listener  remove  Async  Packet  Listener  update  Packet  Listener  process  Stanza  accept  add  Media  Listener  remove  Media  Listener  add  Transport  Listener  remove  Transport  Listener  setup  Listeners  media  Closed  media  Established  transport  Established  transport  Closed  transport  Closed  On  Error  trigger  Session  Closed  trigger  Session  Closed  On  Error  trigger  Media  Received  terminate  terminate  close  is  Closed  create  Jingle  Error  media  Received  start  Outgoing  start  Incoming  do  Start  start  Negotiators  add  Jingle  Media  Session  get  Media  Session,Jingle,namespace  action  attribute  name  initiator  attribute  name  responder  attribute  name  session  id  attribute  name  element  session  Id  action  initiator  responder  reason  contents  Builder  sid  action  initiator  responder  reason  contents,Jingle  get  Initiator  get  Responder  get  Sid  get  Action  get  Reason  get  Contents  get  Sole  Content  Or  Throw  get  I  Q  Child  Element  Builder  get  Builder  create  Error  Unknown  Session  Builder  set  Session  Id  set  Action  set  Initiator  set  Responder  add  Jingle  Content  set  Reason  set  Reason  build,0,0
